,0,7.5,15,22.5,30,37.5,45,52.5,60,67.5,75,82.5,90,97.5,105,112.5,120,127.5,135,142.5,150,157.5,165,172.5,180,187.5,195,202.5,210,217.5,225,232.5,240,247.5,255,262.5,270,277.5,285,292.5,300,307.5,315,322.5,330,337.5,345,352.5
5.25,0.043489483,0.035656521,0.043326456,0.037137236,0.036669648,0.046268979,0.047362251,0.035104364,0.029466072,0.035745217,0.036409434,0.046942123,0.033356232,0.042256497,0.028431249,0.034395913,0.03604417,0.039313121,0.037741203,0.041094828,0.031328671,0.036641904,0.03296493,0.027794614,0.022168675,0.029379845,0.028939394,0.027047888,0.023720974,0.02244186,0.016200926,0.019725371,0.025969697,0.022773295,0.020855263,0.025380376,0.02609321,0.025053381,0.025092446,0.030162896,0.027541444,0.028787879,0.028327396,0.039812542,0.031743119,0.027408267,0.022522737,0.031042863
5.75,0.039488966,0.040655786,0.041342644,0.060419741,0.037726644,0.039720803,0.043845252,0.043557012,0.04416064,0.0294465,0.026944508,0.031945638,0.038088696,0.03260793,0.02975217,0.022882637,0.039933329,0.05126431,0.044267877,0.044739087,0.048531469,0.029157125,0.031242524,0.029829422,0.033092369,0.029689922,0.022310606,0.035236082,0.027565084,0.023081395,0.022687011,0.026291412,0.022151515,0.022119069,0.019605263,0.028746823,0.022086772,0.031423488,0.028639348,0.02912136,0.029164108,0.026493506,0.030172969,0.042445883,0.031330275,0.026336934,0.029998571,0.039991162
6.25,0.056652471,0.045802088,0.043088399,0.049188392,0.036832263,0.04375045,0.033450567,0.040106952,0.055547007,0.060546414,0.034882833,0.033898305,0.033890543,0.048454116,0.042709775,0.050370584,0.032780054,0.045477419,0.039372872,0.050709467,0.055734266,0.046360945,0.039567485,0.029612954,0.037630522,0.031085271,0.035984848,0.03104131,0.022220833,0.027732558,0.020972627,0.025882738,0.022939394,0.0262625,0.019309211,0.034852635,0.033592439,0.029822064,0.033582371,0.028121485,0.029646522,0.034329004,0.030130048,0.039767909,0.031834862,0.036827069,0.023427456,0.043139638
6.75,0.038585624,0.047345979,0.04919854,0.040498442,0.045369542,0.046197021,0.040250098,0.050629636,0.055316202,0.04078419,0.037478055,0.035616652,0.035417144,0.052116346,0.045414518,0.05015471,0.041113966,0.033274626,0.045048241,0.047297821,0.057272727,0.042339273,0.035261471,0.039657113,0.036104418,0.032984496,0.031704545,0.03214873,0.037534769,0.023488372,0.026458655,0.026781822,0.022636364,0.026636344,0.029342105,0.035017657,0.035475807,0.038434164,0.03482756,0.038245219,0.034426805,0.037012987,0.028541998,0.031778621,0.042568807,0.043388983,0.027379649,0.040433053
7.25,0.038133953,0.050654316,0.040390414,0.046974914,0.066509472,0.04231129,0.036029699,0.034931861,0.05777812,0.047004173,0.037096405,0.041474654,0.045874361,0.033100923,0.036859982,0.056918759,0.048822835,0.036797081,0.048453462,0.049546406,0.053426573,0.049768195,0.04794029,0.035111265,0.040803213,0.040193798,0.033371212,0.03379308,0.030127824,0.026773256,0.022058403,0.026236922,0.03,0.035421664,0.029342105,0.039011188,0.039756189,0.039359431,0.036223681,0.040078324,0.039470222,0.032510823,0.03184686,0.037714796,0.035458716,0.04548701,0.04628351,0.035240831
7.75,0.04084398,0.039553007,0.046817965,0.047138875,0.058460037,0.034036123,0.030715123,0.048473348,0.034389906,0.040705456,0.042210518,0.056393033,0.035417144,0.034932037,0.046106428,0.045693315,0.047919994,0.05126431,0.0571084,0.054121113,0.051188811,0.045914093,0.042294627,0.047017058,0.040120482,0.048837209,0.036742424,0.030605054,0.032690565,0.030406977,0.027915881,0.031004795,0.023333333,0.035203589,0.042763158,0.043367768,0.033592439,0.032170819,0.035355822,0.039786693,0.038812385,0.036926407,0.032962788,0.024280295,0.025504587,0.031827515,0.042521785,0.029275298
8.25,0.034197961,0.047198941,0.064116807,0.04902443,0.067485161,0.053680651,0.037123877,0.040193203,0.042160332,0.053617825,0.054728647,0.044052175,0.040683917,0.042890344,0.053591647,0.053248903,0.045280922,0.055981885,0.03830874,0.054663875,0.054265734,0.044908675,0.040954978,0.043510261,0.040321285,0.042054264,0.040265152,0.037182456,0.036565928,0.032267442,0.0287445,0.028743461,0.040757576,0.038443565,0.037039474,0.040430377,0.033695168,0.036014235,0.025696174,0.034329042,0.036224893,0.036493506,0.047255247,0.029189913,0.028394495,0.033389876,0.04466454,0.038057888
8.75,0.063427539,0.042934863,0.062450405,0.063043122,0.066021628,0.046988559,0.02797968,0.045972055,0.051238652,0.057475789,0.04465308,0.042411935,0.050377834,0.075920839,0.048433765,0.051593869,0.059656921,0.048559567,0.041643019,0.044971699,0.034615385,0.044461822,0.047557533,0.044722487,0.036305221,0.042403101,0.035833333,0.032215846,0.032846829,0.034302326,0.03603063,0.033538579,0.036606061,0.037353189,0.043026316,0.038153074,0.039002842,0.041032028,0.036261414,0.036120485,0.03990878,0.041948052,0.048671617,0.026422674,0.035779817,0.039460762,0.035712585,0.034743703
9.25,0.050200026,0.06881341,0.043247104,0.03762912,0.05618343,0.049722962,0.059007425,0.069346214,0.059855362,0.054483899,0.056560568,0.045536202,0.042515838,0.050355659,0.064788024,0.046772685,0.046114313,0.050257894,0.043132804,0.038225944,0.038811189,0.041836564,0.049279939,0.033942333,0.045702811,0.039186047,0.039318182,0.027786167,0.040035003,0.033401163,0.03920224,0.04146687,0.039030303,0.044269292,0.043782895,0.036799894,0.038181009,0.049181495,0.052033809,0.046577511,0.039557934,0.034242424,0.036868535,0.0305289,0.041238532,0.03955004,0.039950479,0.033694211
9.75,0.043489483,0.039773563,0.048801777,0.047384817,0.040653712,0.047060517,0.04282923,0.031050543,0.037851977,0.050389733,0.043202809,0.048972897,0.043508129,0.050355659,0.054912568,0.043678492,0.04076672,0.036608378,0.037599319,0.036675196,0.03020979,0.046696084,0.03951964,0.035674084,0.035341365,0.038139535,0.044583333,0.035739454,0.037941057,0.036802326,0.033916224,0.036698997,0.035666667,0.043210069,0.035657895,0.033829499,0.041536828,0.043558719,0.057731492,0.045785943,0.03938251,0.042554113,0.035108803,0.040615934,0.044174312,0.030354433,0.033474596,0.042532037
