 speed bin,sector bin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,7.5,15,22.5,30,37.5,45,52.5,60,67.5,75,82.5,90,97.5,105,112.5,120,127.5,135,142.5,150,157.5,165,172.5,180,187.5,195,202.5,210,217.5,225,232.5,240,247.5,255,262.5,270,277.5,285,292.5,300,307.5,315,322.5,330,337.5,345,352.5,
7.75,63.3,53.8,59,57.5,71.9,47.3,39.3,56.2,44.7,51.7,55.3,72.2,46.4,49.6,73.3,63.5,69,81.5,80.5,69.8,73.2,82.2,88.4,108.6,99.9,126,97,91.2,104.6,104.6,97.7,113.8,77,113,130,131.4,98.1,90.4,93.7,95.5,88.5,85.3,76.8,54.4,55.6,71.3,89.3,53,
8.25,53,64.2,80.8,59.8,83,74.6,47.5,46.6,54.8,68.1,71.7,56.4,53.3,60.9,85.2,74,65.2,89,54,70.5,77.6,80.4,85.6,100.5,100.4,108.5,106.3,110.8,117,111,100.6,105.5,134.5,123.4,112.6,122.5,98.4,101.2,68.1,82.4,82.6,84.3,110.1,65.4,61.9,74.8,93.8,68.9,
8.75,98.3,58.4,78.7,76.9,81.2,65.3,35.8,53.3,66.6,73,58.5,54.3,66,107.8,77,71.7,85.9,77.2,58.7,58,49.5,79.6,99.4,103.3,90.4,109.4,94.6,96,105.1,118,126.1,123.1,120.8,119.9,130.8,115.6,113.9,115.3,96.1,86.7,91,96.9,113.4,59.2,78,88.4,75,62.9,
9.25,77.8,93.6,54.5,45.9,69.1,69.1,75.5,80.4,77.8,69.2,74.1,58.3,55.7,71.5,103,65,66.4,79.9,60.8,49.3,55.5,74.9,103,78.4,113.8,101.1,103.8,82.8,128.1,114.9,137.2,152.2,128.8,142.1,133.1,111.5,111.5,138.2,137.9,111.8,90.2,79.1,85.9,68.4,89.9,88.6,83.9,61,
9.75,67.4,54.1,61.5,57.8,50,65.4,54.8,36,49.2,64,56.6,62.7,57,71.5,87.3,60.7,58.7,58.2,53,47.3,43.2,83.6,82.6,82.4,88,98.4,117.7,106.5,121.4,126.6,118.7,134.7,117.7,138.7,108.4,102.5,121.3,122.4,153,109.9,89.8,98.3,81.8,91,96.3,68,70.3,77,
10.25,55.4,34.8,55.7,46.2,40.8,57.4,41.5,38.1,50.4,47.7,39.6,34,43,71,75.2,79.4,44.8,57.5,55.4,47.2,46.4,69.1,108,101.7,92.4,106.8,114.6,114.9,133.9,122.9,129.1,133.3,148.7,126.5,122,110,137,120.1,138.3,104.1,96.8,98,93.8,102.7,86.8,113.3,74.8,57.5,
10.75,56,40.6,48.7,53,42.6,61.1,60.4,41.4,36.7,60.2,48.3,43.2,40.4,67.7,53.6,58.8,36.4,49.6,59.2,42.5,41.9,82.1,106.4,87,105.9,111,118.3,164.8,125.2,117.8,154.7,141.2,115.3,109.5,110.8,109.6,110.1,109.7,124.9,106.7,93.7,85.9,96.1,76.5,91.5,72.6,97.2,60,
11.25,48.5,33.8,43,36.2,34,63.2,43.1,51.9,43.9,51.6,59.2,44.1,44.8,40.6,47.6,43.7,26.9,57.4,48.6,42.3,39.3,61.4,82.5,97.3,93.4,104.5,117.8,139.1,148.5,124,142.9,157.3,133.6,113.5,99,118.6,117.9,109.9,112.6,96.5,102.1,95,69.8,80.6,100.8,92.8,75.7,65.8,
11.75,39.7,38.3,27.2,33.7,36.2,75.3,57.8,59.8,58.4,44.7,48.4,48.8,48.3,47.1,53.1,55.2,40.4,39.5,41.8,30.4,39.7,62.4,69.6,95.1,106.1,102.5,110.4,125.5,123.3,147.2,145.3,109.2,128.2,84.8,98.4,103.9,99.4,97.1,76.3,106.8,95,88.3,83.6,64.1,85,93.7,75.6,69.2,
12.25,38.2,35.6,31.7,30.5,39.9,52.7,43.9,37,30.1,36.7,55.7,37.1,52.5,38,34.8,29.4,45.1,41.6,50.2,44.1,44.1,47.5,57.9,69.9,78.9,82.6,97.9,133.5,129.9,138.3,116.6,121.6,120.1,106.2,103.5,108.6,121.1,87.1,95.5,83.6,91.6,98.8,72.1,69.1,69.8,91.3,64.3,57.7,
